FECHA,DÍA MES,DÍA SEMANA,MES,AÑO,ORGANISMO,LINEA/SERVICIO,AFLUENCIA TARJETA,AFLUENCIA BOLETO,"AFLUENCIA TOTAL
(cifras preliminares)"
2020-03-09,09,Lunes,2020-03,2020,Ecobici,N/A,,,23154.0
2020-03-11,11,Miércoles,2020-03,2020,Ecobici,N/A,,,31609.0
2020-03-13,13,Viernes,2020-03,2020,Ecobici,N/A,,,28080.0
2020-03-15,15,Domingo,2020-03,2020,Ecobici,N/A,,,8492.0
2020-03-24,24,Martes,2020-03,2020,Ecobici,N/A,,,11358.0
2020-03-28,28,Sábado,2020-03,2020,Ecobici,N/A,,,5911.0
2020-03-30,30,Lunes,2020-03,2020,Ecobici,N/A,,,8044.0
2020-04-07,07,Martes,2020-04,2020,Ecobici,N/A,,,5831.0
2020-04-08,08,Miércoles,2020-04,2020,Ecobici,N/A,,,5473.0
2020-04-10,10,Viernes,2020-04,2020,Ecobici,N/A,,,3876.0
2020-04-12,12,Domingo,2020-04,2020,Ecobici,N/A,,,3293.0
2020-04-15,15,Miércoles,2020-04,2020,Ecobici,N/A,,,5986.0
2020-04-18,18,Sábado,2020-04,2020,Ecobici,N/A,,,3833.0
2020-04-24,24,Viernes,2020-04,2020,Ecobici,N/A,,,5011.0
2020-04-25,25,Sábado,2020-04,2020,Ecobici,N/A,,,3836.0
2020-04-26,26,Domingo,2020-04,2020,Ecobici,N/A,,,3603.0
2020-04-29,29,Miércoles,2020-04,2020,Ecobici,N/A,,,5158.0
2020-05-02,02,Sábado,2020-05,2020,Ecobici,N/A,,,4208.0
2020-05-03,03,Domingo,2020-05,2020,Ecobici,N/A,,,3507.0
2020-05-06,06,Miércoles,2020-05,2020,Ecobici,N/A,,,4563.0
2020-05-13,13,Miércoles,2020-05,2020,Ecobici,N/A,,,5319.0
2020-05-15,15,Viernes,2020-05,2020,Ecobici,N/A,,,5736.0
2020-05-19,19,Martes,2020-05,2020,Ecobici,N/A,,,5583.0
2020-05-21,21,Jueves,2020-05,2020,Ecobici,N/A,,,5210.0
2020-06-02,02,Martes,2020-06,2020,Ecobici,N/A,,,6406.0
2020-06-03,03,Miércoles,2020-06,2020,Ecobici,N/A,,,6276.0
2020-06-07,07,Domingo,2020-06,2020,Ecobici,N/A,,,3963.0
2020-06-09,09,Martes,2020-06,2020,Ecobici,N/A,,,6088.0
2020-06-11,11,Jueves,2020-06,2020,Ecobici,N/A,,,6234.0
2020-06-18,18,Jueves,2020-06,2020,Ecobici,N/A,,,7025.0
2020-06-24,24,Miércoles,2020-06,2020,Ecobici,N/A,,,6341.0
2020-03-01,01,Domingo,2020-03,2020,Metrobús,L2,,,84605.0
2020-03-02,02,Lunes,2020-03,2020,Metrobús,L2,,,199394.0
2020-03-02,02,Lunes,2020-03,2020,Metrobús,L5,,,98477.0
2020-03-03,03,Martes,2020-03,2020,Metrobús,L5,,,98071.0
2020-03-03,03,Martes,2020-03,2020,Metrobús,L7,,,117591.0
2020-03-04,04,Miércoles,2020-03,2020,Metrobús,L3,,,185555.0
2020-03-04,04,Miércoles,2020-03,2020,Metrobús,L5,,,98813.0
2020-03-05,05,Jueves,2020-03,2020,Metrobús,L1,,,525894.0
2020-03-05,05,Jueves,2020-03,2020,Metrobús,L5,,,96894.0
2020-03-05,05,Jueves,2020-03,2020,Metrobús,L6,,,217272.0
2020-03-05,05,Jueves,2020-03,2020,Metrobús,L7,,,138174.0
2020-03-06,06,Viernes,2020-03,2020,Metrobús,L7,,,142348.0
2020-03-07,07,Sábado,2020-03,2020,Metrobús,L5,,,69703.0
2020-03-08,08,Domingo,2020-03,2020,Metrobús,L3,,,76179.0
2020-03-08,08,Domingo,2020-03,2020,Metrobús,L4,,,25285.0
2020-03-09,09,Lunes,2020-03,2020,Metrobús,L4,,,46823.0
2020-03-09,09,Lunes,2020-03,2020,Metrobús,L5,,,68327.0
2020-03-09,09,Lunes,2020-03,2020,Metrobús,L6,,,148182.0
2020-03-10,10,Martes,2020-03,2020,Metrobús,L2,,,200146.0
2020-03-10,10,Martes,2020-03,2020,Metrobús,L3,,,178524.0
2020-03-10,10,Martes,2020-03,2020,Metrobús,L4,,,68264.0
2020-03-10,10,Martes,2020-03,2020,Metrobús,L7,,,136351.0
2020-03-11,11,Miércoles,2020-03,2020,Metrobús,L7,,,133198.0
2020-03-12,12,Jueves,2020-03,2020,Metrobús,L1,,,523382.0
2020-03-12,12,Jueves,2020-03,2020,Metrobús,L4,,,74206.0
2020-03-12,12,Jueves,2020-03,2020,Metrobús,L5,,,97154.0
2020-03-12,12,Jueves,2020-03,2020,Metrobús,L7,,,113949.0
2020-03-13,13,Viernes,2020-03,2020,Metrobús,L2,,,208258.0
2020-03-13,13,Viernes,2020-03,2020,Metrobús,L7,,,150326.0
2020-03-15,15,Domingo,2020-03,2020,Metrobús,L2,,,78765.0
2020-03-15,15,Domingo,2020-03,2020,Metrobús,L4,,,28253.0
2020-03-15,15,Domingo,2020-03,2020,Metrobús,L6,,,89264.0
2020-03-16,16,Lunes,2020-03,2020,Metrobús,L4,,,43747.0
2020-03-16,16,Lunes,2020-03,2020,Metrobús,L6,,,106439.0
2020-03-17,17,Martes,2020-03,2020,Metrobús,L4,,,61610.0
2020-03-17,17,Martes,2020-03,2020,Metrobús,L6,,,206273.0
2020-03-18,18,Miércoles,2020-03,2020,Metrobús,L2,,,154367.0
2020-03-18,18,Miércoles,2020-03,2020,Metrobús,L7,,,110767.0
2020-03-19,19,Jueves,2020-03,2020,Metrobús,L4,,,44444.0
2020-03-20,20,Viernes,2020-03,2020,Metrobús,L1,,,345612.0
2020-03-20,20,Viernes,2020-03,2020,Metrobús,L2,,,145625.0
2020-03-20,20,Viernes,2020-03,2020,Metrobús,L5,,,78613.0
2020-03-21,21,Sábado,2020-03,2020,Metrobús,L1,,,177057.0
2020-03-21,21,Sábado,2020-03,2020,Metrobús,L2,,,84952.0
2020-03-21,21,Sábado,2020-03,2020,Metrobús,L4,,,38919.0
2020-03-22,22,Domingo,2020-03,2020,Metrobús,L3,,,56684.0
2020-03-22,22,Domingo,2020-03,2020,Metrobús,L5,,,43325.0
2020-03-22,22,Domingo,2020-03,2020,Metrobús,L7,,,32590.0
2020-03-23,23,Lunes,2020-03,2020,Metrobús,L1,,,270021.0
2020-03-23,23,Lunes,2020-03,2020,Metrobús,L5,,,59705.0
2020-03-24,24,Martes,2020-03,2020,Metrobús,L1,,,211352.0
2020-03-24,24,Martes,2020-03,2020,Metrobús,L4,,,35878.0
2020-03-24,24,Martes,2020-03,2020,Metrobús,L7,,,64741.0
2020-03-25,25,Miércoles,2020-03,2020,Metrobús,L2,,,92833.0
2020-03-25,25,Miércoles,2020-03,2020,Metrobús,L7,,,66577.0
2020-03-26,26,Jueves,2020-03,2020,Metrobús,L4,,,33560.0
2020-03-26,26,Jueves,2020-03,2020,Metrobús,L6,,,109297.0
2020-03-28,28,Sábado,2020-03,2020,Metrobús,L1,,,115992.0
2020-03-29,29,Domingo,2020-03,2020,Metrobús,L1,,,85928.0
2020-03-29,29,Domingo,2020-03,2020,Metrobús,L2,,,42555.0
2020-03-29,29,Domingo,2020-03,2020,Metrobús,L4,,,13939.0
2020-03-29,29,Domingo,2020-03,2020,Metrobús,L6,,,51554.0
2020-03-30,30,Lunes,2020-03,2020,Metrobús,L2,,,86407.0
2020-03-31,31,Martes,2020-03,2020,Metrobús,L1,,,184118.0
2020-03-31,31,Martes,2020-03,2020,Metrobús,L3,,,77238.0
2020-03-31,31,Martes,2020-03,2020,Metrobús,L6,,,93795.0
2020-03-31,31,Martes,2020-03,2020,Metrobús,L7,,,50351.0
2020-04-01,01,Míercoles,2020-04,2020,Metrobús,L1,,,159078.0
2020-04-01,01,Míercoles,2020-04,2020,Metrobús,L7,,,46671.0
2020-04-02,02,Jueves,2020-04,2020,Metrobús,L7,,,43504.0
2020-04-03,03,Viernes,2020-04,2020,Metrobús,L1,,,140623.0
2020-04-03,03,Viernes,2020-04,2020,Metrobús,L6,,,82097.0
2020-04-04,04,Sábado,2020-04,2020,Metrobús,L3,,,45415.0
2020-04-04,04,Sábado,2020-04,2020,Metrobús,L4,,,20748.0
2020-04-05,05,Domingo,2020-04,2020,Metrobús,L1,,,64596.0
2020-04-05,05,Domingo,2020-04,2020,Metrobús,L2,,,36695.0
2020-04-05,05,Domingo,2020-04,2020,Metrobús,L5,,,27000.0
2020-04-06,06,Lunes,2020-04,2020,Metrobús,L2,,,63783.0
2020-04-07,07,Martes,2020-04,2020,Metrobús,L4,,,16472.0
2020-04-07,07,Martes,2020-04,2020,Metrobús,L5,,,35183.0
2020-04-08,08,Míercoles,2020-04,2020,Metrobús,L6,,,69407.0
2020-04-09,09,Jueves,2020-04,2020,Metrobús,L3,,,36368.0
2020-04-10,10,Viernes,2020-04,2020,Metrobús,L2,,,35551.0
2020-04-10,10,Viernes,2020-04,2020,Metrobús,L3,,,27611.0
2020-04-10,10,Viernes,2020-04,2020,Metrobús,L5,,,22698.0
2020-04-11,11,Sábado,2020-04,2020,Metrobús,L2,,,36071.0
2020-04-11,11,Sábado,2020-04,2020,Metrobús,L3,,,30051.0
2020-04-11,11,Sábado,2020-04,2020,Metrobús,L7,,,19309.0
2020-04-12,12,Domingo,2020-04,2020,Metrobús,L1,,,54512.0
2020-04-12,12,Domingo,2020-04,2020,Metrobús,L2,,,28919.0
2020-04-12,12,Domingo,2020-04,2020,Metrobús,L3,,,25573.0
2020-04-12,12,Domingo,2020-04,2020,Metrobús,L7,,,13033.0
2020-04-13,13,Lunes,2020-04,2020,Metrobús,L1,,,124893.0
2020-04-13,13,Lunes,2020-04,2020,Metrobús,L4,,,16358.0
2020-04-14,14,Martes,2020-04,2020,Metrobús,L1,,,125820.0
2020-04-14,14,Martes,2020-04,2020,Metrobús,L3,,,54684.0
2020-04-14,14,Martes,2020-04,2020,Metrobús,L4,,,15770.0
2020-04-14,14,Martes,2020-04,2020,Metrobús,L5,,,36159.0
2020-04-14,14,Martes,2020-04,2020,Metrobús,L7,,,34208.0
2020-04-15,15,Míercoles,2020-04,2020,Metrobús,L6,,,71297.0
2020-04-16,16,Jueves,2020-04,2020,Metrobús,L3,,,54567.0
2020-04-16,16,Jueves,2020-04,2020,Metrobús,L6,,,66241.0
2020-04-16,16,Jueves,2020-04,2020,Metrobús,L7,,,33831.0
2020-04-17,17,Viernes,2020-04,2020,Metrobús,L4,,,16647.0
2020-04-17,17,Viernes,2020-04,2020,Metrobús,L5,,,36024.0
2020-04-18,18,Sábado,2020-04,2020,Metrobús,L3,,,37500.0
2020-04-18,18,Sábado,2020-04,2020,Metrobús,L5,,,28232.0
2020-04-19,19,Domingo,2020-04,2020,Metrobús,L1,,,48002.0
2020-04-19,19,Domingo,2020-04,2020,Metrobús,L3,,,25517.0
2020-04-20,20,Lunes,2020-04,2020,Metrobús,L1,,,127204.0
2020-04-20,20,Lunes,2020-04,2020,Metrobús,L5,,,33215.0
2020-04-20,20,Lunes,2020-04,2020,Metrobús,L6,,,66599.0
2020-04-21,21,Martes,2020-04,2020,Metrobús,L4,,,13059.0
2020-04-22,22,Míercoles,2020-04,2020,Metrobús,L2,,,57412.0
2020-04-22,22,Míercoles,2020-04,2020,Metrobús,L3,,,49119.0
2020-04-22,22,Míercoles,2020-04,2020,Metrobús,L5,,,32124.0
2020-04-23,23,Jueves,2020-04,2020,Metrobús,L1,,,101483.0
2020-04-23,23,Jueves,2020-04,2020,Metrobús,L3,,,46589.0
2020-04-23,23,Jueves,2020-04,2020,Metrobús,L6,,,60018.0
2020-04-24,24,Viernes,2020-04,2020,Metrobús,L2,,,55109.0
2020-04-24,24,Viernes,2020-04,2020,Metrobús,L4,,,14724.0
2020-04-24,24,Viernes,2020-04,2020,Metrobús,L6,,,59220.0
2020-04-25,25,Sábado,2020-04,2020,Metrobús,L2,,,41519.0
2020-04-25,25,Sábado,2020-04,2020,Metrobús,L4,,,9707.0
2020-04-26,26,Domingo,2020-04,2020,Metrobús,L4,,,8275.0
2020-04-26,26,Domingo,2020-04,2020,Metrobús,L6,,,29597.0
2020-04-27,27,Lunes,2020-04,2020,Metrobús,L2,,,56853.0
2020-04-27,27,Lunes,2020-04,2020,Metrobús,L3,,,47064.0
2020-04-27,27,Lunes,2020-04,2020,Metrobús,L6,,,61032.0
2020-04-27,27,Lunes,2020-04,2020,Metrobús,L7,,,30390.0
2020-04-28,28,Martes,2020-04,2020,Metrobús,L3,,,46017.0
2020-04-28,28,Martes,2020-04,2020,Metrobús,L5,,,30393.0
2020-04-29,29,Míercoles,2020-04,2020,Metrobús,L2,,,56393.0
2020-04-29,29,Míercoles,2020-04,2020,Metrobús,L3,,,49286.0
2020-04-30,30,Jueves,2020-04,2020,Metrobús,L1,,,113530.0
2020-04-30,30,Jueves,2020-04,2020,Metrobús,L3,,,48342.0
2020-05-01,01,Viernes,2020-05,2020,Metrobús,L4,,,10733.0
2020-05-02,02,Sábado,2020-05,2020,Metrobús,L1,,,66944.0
2020-05-02,02,Sábado,2020-05,2020,Metrobús,L5,,,25462.0
2020-05-02,02,Sábado,2020-05,2020,Metrobús,L6,,,42838.0
2020-05-03,03,Domingo,2020-05,2020,Metrobús,L1,,,47390.0
2020-05-03,03,Domingo,2020-05,2020,Metrobús,L7,,,13031.0
2020-05-04,04,Lunes,2020-05,2020,Metrobús,L2,,,57916.0
2020-05-04,04,Lunes,2020-05,2020,Metrobús,L4,,,16575.0
2020-05-05,05,Martes,2020-05,2020,Metrobús,L2,,,51295.0
2020-05-06,06,Míercoles,2020-05,2020,Metrobús,L3,,,42997.0
2020-05-06,06,Míercoles,2020-05,2020,Metrobús,L4,,,13041.0
2020-05-06,06,Míercoles,2020-05,2020,Metrobús,L6,,,56877.0
2020-05-07,07,Jueves,2020-05,2020,Metrobús,L1,,,97195.0
2020-05-07,07,Jueves,2020-05,2020,Metrobús,L5,,,27092.0
2020-05-07,07,Jueves,2020-05,2020,Metrobús,L6,,,56615.0
2020-05-08,08,Viernes,2020-05,2020,Metrobús,L1,,,101774.0
2020-05-08,08,Viernes,2020-05,2020,Metrobús,L6,,,54799.0
2020-05-08,08,Viernes,2020-05,2020,Metrobús,L7,,,27318.0
2020-05-09,09,Sábado,2020-05,2020,Metrobús,L3,,,29962.0
2020-05-10,10,Domingo,2020-05,2020,Metrobús,L1,,,43577.0
2020-05-10,10,Domingo,2020-05,2020,Metrobús,L2,,,26427.0
2020-05-10,10,Domingo,2020-05,2020,Metrobús,L5,,,18721.0
2020-05-10,10,Domingo,2020-05,2020,Metrobús,L7,,,15717.0
2020-05-11,11,Lunes,2020-05,2020,Metrobús,L1,,,103624.0
2020-05-11,11,Lunes,2020-05,2020,Metrobús,L2,,,49281.0
2020-05-11,11,Lunes,2020-05,2020,Metrobús,L3,,,41703.0
2020-05-12,12,Martes,2020-05,2020,Metrobús,L5,,,26642.0
2020-05-14,14,Jueves,2020-05,2020,Metrobús,L1,,,107935.0
2020-05-14,14,Jueves,2020-05,2020,Metrobús,L3,,,44054.0
2020-05-14,14,Jueves,2020-05,2020,Metrobús,L4,,,14842.0
2020-05-14,14,Jueves,2020-05,2020,Metrobús,L5,,,29300.0
2020-05-15,15,Viernes,2020-05,2020,Metrobús,L7,,,28656.0
2020-05-16,16,Sábado,2020-05,2020,Metrobús,L3,,,33435.0
2020-05-16,16,Sábado,2020-05,2020,Metrobús,L4,,,12591.0
2020-05-16,16,Sábado,2020-05,2020,Metrobús,L7,,,21552.0
2020-05-17,17,Domingo,2020-05,2020,Metrobús,L4,,,7793.0
2020-05-17,17,Domingo,2020-05,2020,Metrobús,L5,,,20153.0
2020-05-17,17,Domingo,2020-05,2020,Metrobús,L7,,,14255.0
2020-05-18,18,Lunes,2020-05,2020,Metrobús,L1,,,106549.0
2020-05-18,18,Lunes,2020-05,2020,Metrobús,L4,,,16258.0
2020-05-19,19,Martes,2020-05,2020,Metrobús,L4,,,14745.0
2020-05-19,19,Martes,2020-05,2020,Metrobús,L5,,,30635.0
2020-05-19,19,Martes,2020-05,2020,Metrobús,L6,,,59852.0
2020-05-19,19,Martes,2020-05,2020,Metrobús,L7,,,30572.0
2020-05-20,20,Míercoles,2020-05,2020,Metrobús,L1,,,111009.0
2020-05-21,21,Jueves,2020-05,2020,Metrobús,L1,,,103788.0
2020-05-21,21,Jueves,2020-05,2020,Metrobús,L3,,,43765.0
2020-05-21,21,Jueves,2020-05,2020,Metrobús,L5,,,27101.0
2020-05-24,24,Domingo,2020-05,2020,Metrobús,L1,,,50618.0
2020-05-24,24,Domingo,2020-05,2020,Metrobús,L7,,,14947.0
2020-05-25,25,Lunes,2020-05,2020,Metrobús,L3,,,49038.0
2020-05-26,26,Martes,2020-05,2020,Metrobús,L2,,,54576.0
2020-05-26,26,Martes,2020-05,2020,Metrobús,L6,,,62202.0
2020-05-27,27,Míercoles,2020-05,2020,Metrobús,L4,,,16160.0
2020-05-27,27,Míercoles,2020-05,2020,Metrobús,L5,,,29853.0
2020-05-27,27,Míercoles,2020-05,2020,Metrobús,L7,,,32642.0
2020-05-29,29,Viernes,2020-05,2020,Metrobús,L1,,,114639.0
2020-05-29,29,Viernes,2020-05,2020,Metrobús,L5,,,31484.0
2020-05-29,29,Viernes,2020-05,2020,Metrobús,L6,,,66448.0
2020-05-29,29,Viernes,2020-05,2020,Metrobús,L7,,,31942.0
2020-05-30,30,Sábado,2020-05,2020,Metrobús,L3,,,35980.0
2020-05-30,30,Sábado,2020-05,2020,Metrobús,L4,,,13465.0
2020-05-31,31,Domingo,2020-05,2020,Metrobús,L1,,,56440.0
2020-05-31,31,Domingo,2020-05,2020,Metrobús,L2,,,30244.0
2020-05-31,31,Domingo,2020-05,2020,Metrobús,L4,,,9328.0
2020-05-31,31,Domingo,2020-05,2020,Metrobús,L7,,,16928.0
2020-06-01,01,Lunes,2020-06,2020,Metrobús,L4,,,18427.0
2020-06-01,01,Lunes,2020-06,2020,Metrobús,L5,,,34030.0
2020-06-02,02,Martes,2020-06,2020,Metrobús,L2,,,60792.0
