,FECHA,MUNICIPIO RESIDENCIA,CASOS
0,2020-01-29,Iztacalco,1
1,2020-02-07,Benito Juárez,1
2,2020-02-12,Cuajimalpa de Morelos,1
3,2020-02-27,Gustavo A. Madero,1
4,2020-02-27,Iztapalapa,1
5,2020-02-27,Miguel Hidalgo,1
6,2020-03-02,Coyoacán,1
7,2020-03-05,Álvaro Obregón,1
8,2020-03-07,Miguel Hidalgo,1
9,2020-03-08,Coyoacán,1
10,2020-03-08,Miguel Hidalgo,1
11,2020-03-09,Coyoacán,1
12,2020-03-10,Benito Juárez,2
13,2020-03-10,Cuajimalpa de Morelos,1
14,2020-03-10,Tlalpan,2
15,2020-03-11,Azcapotzalco,1
16,2020-03-11,Benito Juárez,3
17,2020-03-11,Cuajimalpa de Morelos,2
18,2020-03-11,Cuauhtémoc,1
19,2020-03-11,Gustavo A. Madero,1
20,2020-03-11,Iztapalapa,1
21,2020-03-11,La Magdalena Contreras,2
22,2020-03-11,Miguel Hidalgo,4
23,2020-03-11,Tlalpan,1
24,2020-03-11,Álvaro Obregón,1
25,2020-03-12,Coyoacán,2
26,2020-03-12,Cuajimalpa de Morelos,5
27,2020-03-12,Gustavo A. Madero,1
28,2020-03-12,Iztacalco,1
29,2020-03-12,Miguel Hidalgo,9
30,2020-03-12,Tlalpan,1
31,2020-03-12,Álvaro Obregón,1
32,2020-03-13,Benito Juárez,3
33,2020-03-13,Cuajimalpa de Morelos,3
34,2020-03-13,Cuauhtémoc,1
35,2020-03-13,Gustavo A. Madero,1
36,2020-03-13,La Magdalena Contreras,1
37,2020-03-13,Miguel Hidalgo,9
38,2020-03-13,Tlalpan,3
39,2020-03-13,Venustiano Carranza,1
40,2020-03-13,Xochimilco,2
41,2020-03-13,Álvaro Obregón,5
42,2020-03-14,Azcapotzalco,1
43,2020-03-14,Benito Juárez,2
44,2020-03-14,Cuajimalpa de Morelos,7
45,2020-03-14,Gustavo A. Madero,5
46,2020-03-14,Iztacalco,1
47,2020-03-14,Iztapalapa,1
48,2020-03-14,La Magdalena Contreras,1
49,2020-03-14,Miguel Hidalgo,6
50,2020-03-14,Tlalpan,2
51,2020-03-14,Álvaro Obregón,4
52,2020-03-15,Benito Juárez,1
53,2020-03-15,Coyoacán,1
54,2020-03-15,Cuajimalpa de Morelos,2
55,2020-03-15,Gustavo A. Madero,1
56,2020-03-15,Miguel Hidalgo,5
57,2020-03-15,Tlalpan,1
58,2020-03-15,Venustiano Carranza,1
59,2020-03-16,Azcapotzalco,2
60,2020-03-16,Benito Juárez,1
61,2020-03-16,Coyoacán,1
62,2020-03-16,Cuajimalpa de Morelos,3
