,FECHA,CASOS_TOTALES,CASOS_MUJERES,CASOS_HOMBRES
0,2020-01-13,1,0.0,1.0
1,2020-01-14,1,1.0,0.0
2,2020-01-28,1,0.0,1.0
3,2020-01-29,1,1.0,0.0
4,2020-01-30,1,0.0,1.0
5,2020-02-07,1,0.0,1.0
6,2020-02-12,1,1.0,0.0
7,2020-02-27,4,0.0,4.0
8,2020-02-28,2,1.0,1.0
9,2020-02-29,1,1.0,0.0
10,2020-03-02,2,1.0,1.0
11,2020-03-04,2,1.0,1.0
12,2020-03-05,1,0.0,1.0
13,2020-03-07,1,0.0,1.0
14,2020-03-08,4,1.0,3.0
15,2020-03-09,2,1.0,1.0
16,2020-03-10,9,4.0,5.0
17,2020-03-11,27,7.0,20.0
18,2020-03-12,28,9.0,19.0
19,2020-03-13,60,25.0,35.0
20,2020-03-14,50,23.0,27.0
21,2020-03-15,36,17.0,19.0
22,2020-03-16,68,19.0,49.0
23,2020-03-17,91,30.0,61.0
24,2020-03-18,99,35.0,64.0
25,2020-03-19,107,37.0,70.0
26,2020-03-20,101,45.0,56.0
27,2020-03-21,66,34.0,32.0
28,2020-03-22,48,14.0,34.0
29,2020-03-23,130,54.0,76.0
30,2020-03-24,167,78.0,89.0
31,2020-03-25,143,63.0,80.0
32,2020-03-26,174,81.0,93.0
33,2020-03-27,213,91.0,122.0
34,2020-03-28,162,59.0,103.0
35,2020-03-29,145,57.0,88.0
36,2020-03-30,312,138.0,174.0
37,2020-03-31,285,126.0,159.0
38,2020-04-01,329,134.0,195.0
39,2020-04-02,308,144.0,164.0
40,2020-04-03,347,143.0,204.0
41,2020-04-04,222,82.0,140.0
42,2020-04-05,228,93.0,135.0
43,2020-04-06,538,238.0,300.0
44,2020-04-07,461,193.0,268.0
45,2020-04-08,530,239.0,291.0
46,2020-04-09,414,158.0,256.0
47,2020-04-10,500,207.0,293.0
48,2020-04-11,414,174.0,240.0
49,2020-04-12,436,179.0,257.0
50,2020-04-13,859,347.0,512.0
51,2020-04-14,856,374.0,482.0
52,2020-04-15,882,369.0,513.0
53,2020-04-16,905,406.0,499.0
54,2020-04-17,1042,451.0,591.0
55,2020-04-18,741,301.0,440.0
56,2020-04-19,694,259.0,435.0
57,2020-04-20,1394,564.0,830.0
58,2020-04-21,1343,512.0,831.0
59,2020-04-22,1289,518.0,771.0
60,2020-04-23,1386,594.0,792.0
61,2020-04-24,1564,653.0,911.0
62,2020-04-25,989,399.0,590.0
63,2020-04-26,968,373.0,595.0
64,2020-04-27,1782,718.0,1064.0
65,2020-04-28,1768,733.0,1035.0
66,2020-04-29,1745,700.0,1045.0
67,2020-04-30,1759,754.0,1005.0
68,2020-05-01,1354,534.0,820.0
69,2020-05-02,1360,519.0,841.0
70,2020-05-03,1241,454.0,787.0
71,2020-05-04,2510,1118.0,1392.0
72,2020-05-05,2189,977.0,1212.0
73,2020-05-06,2380,1021.0,1359.0
74,2020-05-07,2457,1113.0,1344.0
75,2020-05-08,2509,1125.0,1384.0
76,2020-05-09,1587,645.0,942.0
77,2020-05-10,1423,576.0,847.0
78,2020-05-11,3058,1351.0,1707.0
79,2020-05-12,3021,1357.0,1664.0
80,2020-05-13,3223,1466.0,1757.0
81,2020-05-14,3171,1423.0,1748.0
82,2020-05-15,3624,1643.0,1981.0
83,2020-05-16,2224,930.0,1294.0
84,2020-05-17,1680,668.0,1012.0
85,2020-05-18,4217,1865.0,2352.0
86,2020-05-19,3757,1742.0,2015.0
87,2020-05-20,4038,1855.0,2183.0
88,2020-05-21,4100,1880.0,2220.0
89,2020-05-22,4219,1957.0,2262.0
90,2020-05-23,2354,965.0,1389.0
91,2020-05-24,1957,812.0,1145.0
92,2020-05-25,4809,2217.0,2592.0
93,2020-05-26,4533,2045.0,2488.0
94,2020-05-27,4662,2157.0,2505.0
95,2020-05-28,4440,2066.0,2374.0
96,2020-05-29,4581,2117.0,2464.0
97,2020-05-30,2894,1267.0,1627.0
98,2020-05-31,2161,890.0,1271.0
99,2020-06-01,5586,2674.0,2912.0
100,2020-06-02,5083,2387.0,2696.0
101,2020-06-03,5266,2482.0,2784.0
102,2020-06-04,5198,2435.0,2763.0
103,2020-06-05,5399,2578.0,2821.0
104,2020-06-06,3100,1362.0,1738.0
105,2020-06-07,2474,1156.0,1318.0
106,2020-06-08,6519,3075.0,3444.0
107,2020-06-09,6125,2958.0,3167.0
108,2020-06-10,6176,2899.0,3277.0
109,2020-06-11,5896,2742.0,3154.0
110,2020-06-12,6215,2901.0,3314.0
111,2020-06-13,3295,1541.0,1754.0
112,2020-06-14,2754,1250.0,1504.0
113,2020-06-15,7111,3411.0,3700.0
114,2020-06-16,7074,3404.0,3670.0
115,2020-06-17,6877,3374.0,3503.0
116,2020-06-18,7322,3554.0,3768.0
117,2020-06-19,7577,3719.0,3858.0
118,2020-06-20,4245,2020.0,2225.0
119,2020-06-21,3121,1361.0,1760.0
120,2020-06-22,10267,5184.0,5083.0
121,2020-06-23,10909,5578.0,5331.0
122,2020-06-24,4760,2481.0,2279.0
