FECHA,CASOS,AFLUENCIA TOTAL
13/01/20,1,
14/01/20,1,
28/01/20,1,
29/01/20,1,
30/01/20,1,
07/02/20,1,
12/02/20,1,
27/02/20,4,
28/02/20,2,
29/02/20,1,
02/03/20,2,6932366
04/03/20,2,7173088
05/03/20,1,7197222
07/03/20,1,5407096
08/03/20,4,3485107
09/03/20,2,4986447
10/03/20,9,7099894
11/03/20,27,7040110
12/03/20,28,7074400
13/03/20,60,7264538
14/03/20,50,5137139
15/03/20,36,3193518
16/03/20,68,3630784
17/03/20,91,6137483
18/03/20,99,5859717
19/03/20,107,5562298
20/03/20,101,5349875
21/03/20,66,3771191
22/03/20,48,2279048
23/03/20,130,4318569
24/03/20,167,3903234
25/03/20,143,3858129
26/03/20,174,3702915
27/03/20,213,3514949
28/03/20,162,2707991
29/03/20,145,1789310
30/03/20,312,3266590
31/03/20,285,3211527
01/04/20,329,3043357
02/04/20,308,2825813
03/04/20,347,2778256
04/04/20,222,2108601
05/04/20,228,1304044
06/04/20,538,2344082
07/04/20,461,2224678
08/04/20,530,2217318
09/04/20,414,1653108
10/04/20,500,1203611
11/04/20,414,1280280
12/04/20,436,1003881
13/04/20,859,2314408
14/04/20,856,2271475
15/04/20,882,2317161
16/04/20,905,2226449
17/04/20,1042,2260529
18/04/20,741,1756806
19/04/20,694,1142562
20/04/20,1394,2246950
21/04/20,1343,2150661
22/04/20,1289,2128745
23/04/20,1386,2024556
24/04/20,1564,2055118
25/04/20,989,1581555
26/04/20,968,1002542
27/04/20,1782,1997764
28/04/20,1768,1951302
29/04/20,1745,1967056
30/04/20,1759,2000201
01/05/20,1354,1461183
02/05/20,1360,1442196
03/05/20,1241,936328
04/05/20,2510,1922766
05/05/20,2189,1801106
06/05/20,2380,1802090
07/05/20,2457,1766449
08/05/20,2509,1849152
09/05/20,1587,1393560
10/05/20,1423,869373
11/05/20,3058,1804818
12/05/20,3021,1764243
13/05/20,3223,1797331
14/05/20,3171,1802946
15/05/20,3624,1967993
16/05/20,2224,1529632
17/05/20,1680,972733
18/05/20,4217,1884360
19/05/20,3757,1884195
20/05/20,4038,1897704
21/05/20,4100,1872828
22/05/20,4219,1940203
23/05/20,2354,1545160
24/05/20,1957,963614
25/05/20,4809,1945411
26/05/20,4533,1903118
27/05/20,4662,1925169
28/05/20,4440,1923004
29/05/20,4581,2054956
30/05/20,2894,1633705
31/05/20,2161,1030248
01/06/20,5586,2147960
02/06/20,5083,2078795
03/06/20,5266,2139958
04/06/20,5198,2108338
05/06/20,5399,2198438
06/06/20,3100,1728063
07/06/20,2474,1070642
08/06/20,6519,2166112
09/06/20,6125,2160118
10/06/20,6176,2187060
11/06/20,5896,2174493
12/06/20,6215,2309292
13/06/20,3295,1805661
14/06/20,2754,1136913
15/06/20,7111,2370129
16/06/20,7074,2368969
17/06/20,6877,2365107
18/06/20,7322,2379891
19/06/20,7577,2429433
20/06/20,4245,1938173
21/06/20,3121,1191119
22/06/20,10267,2275450
23/06/20,10909,2309407
24/06/20,4760,2404465
