,0-15,16-20,21-30,31-40,41-50,51-60,61-70,71-80,81-90,91+,TOTAL
TODOS - CASOS,5778,4902,40326,58602,57744,45469,26952,13804,5020,725,259322
MUNICIPIO RESIDENCIA,5778,4902,40326,58602,57744,45469,26952,13804,5020,725,259322
FECHA INGRESO,5778,4902,40326,58602,57744,45469,26952,13804,5020,725,259322
MUJER - CASOS,2736,2574,20114,27686,26604,19825,11352,5803,2285,366,119345
MUNICIPIO RESIDENCIA,2736,2574,20114,27686,26604,19825,11352,5803,2285,366,119345
FECHA INGRESO,2736,2574,20114,27686,26604,19825,11352,5803,2285,366,119345
HOMBRE - CASOS,3042,2328,20212,30916,31140,25644,15600,8001,2735,359,139977
MUNICIPIO RESIDENCIA,3042,2328,20212,30916,31140,25644,15600,8001,2735,359,139977
FECHA INGRESO,3042,2328,20212,30916,31140,25644,15600,8001,2735,359,139977
TODOS - INTUBADOS,127,24,180,502,1164,1633,1508,874,270,27,6309
MUNICIPIO RESIDENCIA,127,24,180,502,1164,1633,1508,874,270,27,6309
FECHA INGRESO,127,24,180,502,1164,1633,1508,874,270,27,6309
MUJER - INTUBADOS,59,11,62,143,302,490,511,306,109,13,2006
MUNICIPIO RESIDENCIA,59,11,62,143,302,490,511,306,109,13,2006
FECHA INGRESO,59,11,62,143,302,490,511,306,109,13,2006
HOMBRE - INTUBADOS,68,13,118,359,862,1143,997,568,161,14,4303
MUNICIPIO RESIDENCIA,68,13,118,359,862,1143,997,568,161,14,4303
FECHA INGRESO,68,13,118,359,862,1143,997,568,161,14,4303
TODOS - DIFUNTOS,91,31,397,1476,3951,6537,6781,4783,1938,233,26218
MUNICIPIO RESIDENCIA,91,31,397,1476,3951,6537,6781,4783,1938,233,26218
FECHA INGRESO,91,31,397,1476,3951,6537,6781,4783,1938,233,26218
MUJER - DIFUNTOS,39,18,153,433,1143,2040,2410,1800,815,93,8944
MUNICIPIO RESIDENCIA,39,18,153,433,1143,2040,2410,1800,815,93,8944
FECHA INGRESO,39,18,153,433,1143,2040,2410,1800,815,93,8944
HOMBRE - DIFUNTOS,52,13,244,1043,2808,4497,4371,2983,1123,140,17274
MUNICIPIO RESIDENCIA,52,13,244,1043,2808,4497,4371,2983,1123,140,17274
FECHA INGRESO,52,13,244,1043,2808,4497,4371,2983,1123,140,17274
