,FECHA_INGRESO,CASOS_TOTALES,CASOS_MUJERES,CASOS_HOMBRES
0,2020-01-13,1,0.0,1.0
1,2020-01-14,1,1.0,0.0
2,2020-01-28,1,0.0,1.0
3,2020-01-29,1,1.0,0.0
4,2020-01-30,1,0.0,1.0
5,2020-02-05,1,1.0,0.0
6,2020-02-07,1,0.0,1.0
7,2020-02-12,1,1.0,0.0
8,2020-02-27,4,0.0,4.0
9,2020-02-28,2,1.0,1.0
10,2020-02-29,1,1.0,0.0
11,2020-03-02,2,1.0,1.0
12,2020-03-04,2,1.0,1.0
13,2020-03-05,1,0.0,1.0
14,2020-03-07,1,0.0,1.0
15,2020-03-08,4,1.0,3.0
16,2020-03-09,2,1.0,1.0
17,2020-03-10,9,4.0,5.0
18,2020-03-11,27,7.0,20.0
19,2020-03-12,28,9.0,19.0
20,2020-03-13,60,25.0,35.0
21,2020-03-14,50,23.0,27.0
22,2020-03-15,36,17.0,19.0
23,2020-03-16,68,19.0,49.0
24,2020-03-17,91,30.0,61.0
25,2020-03-18,99,35.0,64.0
26,2020-03-19,107,37.0,70.0
27,2020-03-20,101,45.0,56.0
28,2020-03-21,66,34.0,32.0
29,2020-03-22,48,14.0,34.0
30,2020-03-23,130,54.0,76.0
31,2020-03-24,167,78.0,89.0
32,2020-03-25,143,63.0,80.0
33,2020-03-26,173,81.0,92.0
34,2020-03-27,214,92.0,122.0
35,2020-03-28,162,59.0,103.0
36,2020-03-29,145,57.0,88.0
37,2020-03-30,313,138.0,175.0
38,2020-03-31,285,126.0,159.0
39,2020-04-01,329,134.0,195.0
40,2020-04-02,310,144.0,166.0
41,2020-04-03,347,143.0,204.0
42,2020-04-04,223,83.0,140.0
43,2020-04-05,227,92.0,135.0
44,2020-04-06,540,238.0,302.0
45,2020-04-07,462,193.0,269.0
46,2020-04-08,530,239.0,291.0
47,2020-04-09,412,158.0,254.0
48,2020-04-10,501,208.0,293.0
49,2020-04-11,416,174.0,242.0
50,2020-04-12,436,179.0,257.0
51,2020-04-13,861,348.0,513.0
52,2020-04-14,853,371.0,482.0
53,2020-04-15,883,371.0,512.0
54,2020-04-16,908,407.0,501.0
55,2020-04-17,1043,451.0,592.0
56,2020-04-18,742,301.0,441.0
57,2020-04-19,695,259.0,436.0
58,2020-04-20,1395,566.0,829.0
59,2020-04-21,1344,514.0,830.0
60,2020-04-22,1290,520.0,770.0
61,2020-04-23,1386,592.0,794.0
62,2020-04-24,1563,651.0,912.0
63,2020-04-25,989,397.0,592.0
64,2020-04-26,967,371.0,596.0
65,2020-04-27,1785,718.0,1067.0
66,2020-04-28,1765,735.0,1030.0
67,2020-04-29,1745,700.0,1045.0
68,2020-04-30,1752,752.0,1000.0
69,2020-05-01,1357,535.0,822.0
70,2020-05-02,1358,519.0,839.0
71,2020-05-03,1240,455.0,785.0
72,2020-05-04,2511,1116.0,1395.0
73,2020-05-05,2182,975.0,1207.0
74,2020-05-06,2380,1021.0,1359.0
75,2020-05-07,2452,1110.0,1342.0
76,2020-05-08,2497,1118.0,1379.0
77,2020-05-09,1574,639.0,935.0
78,2020-05-10,1430,581.0,849.0
79,2020-05-11,3045,1345.0,1700.0
80,2020-05-12,3002,1350.0,1652.0
81,2020-05-13,3217,1460.0,1757.0
82,2020-05-14,3169,1420.0,1749.0
83,2020-05-15,3606,1637.0,1969.0
84,2020-05-16,2229,930.0,1299.0
85,2020-05-17,1677,666.0,1011.0
86,2020-05-18,4204,1856.0,2348.0
87,2020-05-19,3760,1741.0,2019.0
88,2020-05-20,4052,1859.0,2193.0
89,2020-05-21,4140,1901.0,2239.0
90,2020-05-22,4245,1963.0,2282.0
91,2020-05-23,2409,982.0,1427.0
92,2020-05-24,1965,817.0,1148.0
93,2020-05-25,4828,2230.0,2598.0
94,2020-05-26,4557,2057.0,2500.0
95,2020-05-27,4668,2154.0,2514.0
96,2020-05-28,4417,2053.0,2364.0
97,2020-05-29,4598,2130.0,2468.0
98,2020-05-30,2896,1264.0,1632.0
99,2020-05-31,2179,893.0,1286.0
100,2020-06-01,5609,2668.0,2941.0
101,2020-06-02,5101,2394.0,2707.0
102,2020-06-03,5273,2488.0,2785.0
103,2020-06-04,5195,2427.0,2768.0
104,2020-06-05,5412,2582.0,2830.0
105,2020-06-06,3179,1403.0,1776.0
106,2020-06-07,2475,1158.0,1317.0
107,2020-06-08,6586,3113.0,3473.0
108,2020-06-09,6132,2955.0,3177.0
109,2020-06-10,6196,2922.0,3274.0
110,2020-06-11,5835,2731.0,3104.0
111,2020-06-12,6123,2858.0,3265.0
112,2020-06-13,3328,1554.0,1774.0
113,2020-06-14,2752,1250.0,1502.0
114,2020-06-15,7127,3414.0,3713.0
115,2020-06-16,6897,3276.0,3621.0
116,2020-06-17,6481,3137.0,3344.0
117,2020-06-18,6593,3125.0,3468.0
118,2020-06-19,6609,3181.0,3428.0
119,2020-06-20,3805,1784.0,2021.0
120,2020-06-21,2709,1133.0,1576.0
121,2020-06-22,7653,3677.0,3976.0
122,2020-06-23,7519,3627.0,3892.0
123,2020-06-24,7880,3797.0,4083.0
124,2020-06-25,8252,4095.0,4157.0
125,2020-06-26,9830,4951.0,4879.0
126,2020-06-27,5172,2515.0,2657.0
127,2020-06-28,3811,1857.0,1954.0
128,2020-06-29,12160,6257.0,5903.0
129,2020-06-30,5344,2793.0,2551.0
