,FECHA,CASOS_TOTALES,AFLUENCIA TOTAL
0,2020-01-13,1,
1,2020-01-14,1,
2,2020-01-28,1,
3,2020-01-29,1,
4,2020-01-30,1,
5,2020-02-07,1,
6,2020-02-12,1,
7,2020-02-27,4,
8,2020-02-28,2,
9,2020-02-29,1,
10,2020-03-02,2,6932366.0
11,2020-03-04,2,7173088.0
12,2020-03-05,1,7197222.0
13,2020-03-07,1,5407096.0
14,2020-03-08,4,3485107.0
15,2020-03-09,2,4986447.0
16,2020-03-10,9,7099894.0
17,2020-03-11,27,7040110.0
18,2020-03-12,28,7074400.0
19,2020-03-13,60,7264538.0
20,2020-03-14,50,5137139.0
21,2020-03-15,36,3193518.0
22,2020-03-16,68,3630784.0
23,2020-03-17,91,6137483.0
24,2020-03-18,99,5859717.0
25,2020-03-19,107,5562298.0
26,2020-03-20,101,5349875.0
27,2020-03-21,66,3771191.0
28,2020-03-22,48,2279048.0
29,2020-03-23,130,4318569.0
30,2020-03-24,167,3903234.0
31,2020-03-25,143,3858129.0
32,2020-03-26,174,3702915.0
33,2020-03-27,213,3514949.0
34,2020-03-28,162,2707991.0
35,2020-03-29,145,1789310.0
36,2020-03-30,312,3266590.0
37,2020-03-31,285,3211527.0
38,2020-04-01,329,3043357.0
39,2020-04-02,308,2825813.0
40,2020-04-03,347,2778256.0
41,2020-04-04,222,2108601.0
42,2020-04-05,228,1304044.0
43,2020-04-06,538,2344082.0
44,2020-04-07,461,2224678.0
45,2020-04-08,530,2217318.0
46,2020-04-09,414,1653108.0
47,2020-04-10,500,1203611.0
48,2020-04-11,414,1280280.0
49,2020-04-12,436,1003881.0
50,2020-04-13,859,2314408.0
51,2020-04-14,856,2271475.0
52,2020-04-15,882,2317161.0
53,2020-04-16,905,2226449.0
54,2020-04-17,1042,2260529.0
55,2020-04-18,741,1756806.0
56,2020-04-19,694,1142562.0
57,2020-04-20,1394,2246950.0
58,2020-04-21,1343,2150661.0
59,2020-04-22,1289,2128745.0
60,2020-04-23,1386,2024556.0
61,2020-04-24,1564,2055118.0
62,2020-04-25,989,1581555.0
63,2020-04-26,968,1002542.0
64,2020-04-27,1782,1997764.0
65,2020-04-28,1768,1951302.0
66,2020-04-29,1745,1967056.0
67,2020-04-30,1759,2000201.0
68,2020-05-01,1354,1461183.0
69,2020-05-02,1360,1442196.0
70,2020-05-03,1241,936328.0
71,2020-05-04,2510,1922766.0
72,2020-05-05,2189,1801106.0
73,2020-05-06,2380,1802090.0
74,2020-05-07,2457,1766449.0
75,2020-05-08,2509,1849152.0
76,2020-05-09,1587,1393560.0
77,2020-05-10,1423,869373.0
78,2020-05-11,3058,1804818.0
79,2020-05-12,3021,1764243.0
80,2020-05-13,3223,1797331.0
81,2020-05-14,3171,1802946.0
82,2020-05-15,3624,1967993.0
83,2020-05-16,2224,1529632.0
84,2020-05-17,1680,972733.0
85,2020-05-18,4217,1884360.0
86,2020-05-19,3757,1884195.0
87,2020-05-20,4038,1897704.0
88,2020-05-21,4100,1872828.0
89,2020-05-22,4219,1940203.0
90,2020-05-23,2354,1545160.0
91,2020-05-24,1957,963614.0
92,2020-05-25,4809,1945411.0
93,2020-05-26,4533,1903118.0
94,2020-05-27,4662,1925169.0
95,2020-05-28,4440,1923004.0
96,2020-05-29,4581,2054956.0
97,2020-05-30,2894,1633705.0
98,2020-05-31,2161,1030248.0
99,2020-06-01,5586,2147960.0
100,2020-06-02,5083,2078795.0
101,2020-06-03,5266,2139958.0
102,2020-06-04,5198,2108338.0
103,2020-06-05,5399,2198438.0
104,2020-06-06,3100,1728063.0
105,2020-06-07,2474,1070642.0
106,2020-06-08,6519,2166112.0
107,2020-06-09,6125,2160118.0
108,2020-06-10,6176,2187060.0
109,2020-06-11,5896,2174493.0
110,2020-06-12,6215,2309292.0
111,2020-06-13,3295,1805661.0
112,2020-06-14,2754,1136913.0
113,2020-06-15,7111,2370129.0
114,2020-06-16,7074,2368969.0
115,2020-06-17,6877,2365107.0
116,2020-06-18,7322,2379891.0
117,2020-06-19,7577,2429433.0
118,2020-06-20,4245,1938173.0
119,2020-06-21,3121,1191119.0
120,2020-06-22,10267,2275450.0
121,2020-06-23,10909,2309407.0
122,2020-06-24,4760,2404465.0
