date,name,value
1873-01-01,Iztacalco,1
1882-01-01,Benito Juarez,1
1887-01-01,Cuajimalpa de Morelos,1
1902-01-01,Gustavo A. Madero,1
1902-01-01,Iztapalapa,1
1902-01-01,Miguel Hidalgo,1
1906-01-01,Coyoacan,1
1909-01-01,Alvaro Obregon,1
1911-01-01,Miguel Hidalgo,1
1912-01-01,Coyoacan,1
1912-01-01,Miguel Hidalgo,1
1913-01-01,Coyoacan,1
1914-01-01,Benito Juarez,2
1914-01-01,Cuajimalpa de Morelos,1
1914-01-01,Tlalpan,2
1915-01-01,Azcapotzalco,1
1915-01-01,Benito Juarez,3
1915-01-01,Cuajimalpa de Morelos,2
1915-01-01,Cuauhtemoc,1
1915-01-01,Gustavo A. Madero,1
1915-01-01,Iztapalapa,1
1915-01-01,La Magdalena Contreras,2
1915-01-01,Miguel Hidalgo,4
1915-01-01,Tlalpan,1
1915-01-01,Alvaro Obregon,1
1916-01-01,Coyoacan,2
1916-01-01,Cuajimalpa de Morelos,5
1916-01-01,Gustavo A. Madero,1
1916-01-01,Iztacalco,1
1916-01-01,Miguel Hidalgo,9
1916-01-01,Tlalpan,1
1916-01-01,Alvaro Obregon,1
1917-01-01,Benito Juarez,3
1917-01-01,Cuajimalpa de Morelos,3
1917-01-01,Cuauhtemoc,1
1917-01-01,Gustavo A. Madero,1
1917-01-01,La Magdalena Contreras,1
1917-01-01,Miguel Hidalgo,9
1917-01-01,Tlalpan,3
1917-01-01,Venustiano Carranza,1
1917-01-01,Xochimilco,2
1917-01-01,Alvaro Obregon,5
1918-01-01,Azcapotzalco,1
1918-01-01,Benito Juarez,2
1918-01-01,Cuajimalpa de Morelos,7
1918-01-01,Gustavo A. Madero,5
1918-01-01,Iztacalco,1
1918-01-01,Iztapalapa,1
1918-01-01,La Magdalena Contreras,1
1918-01-01,Miguel Hidalgo,6
1918-01-01,Tlalpan,2
1918-01-01,Alvaro Obregon,4
1919-01-01,Benito Juarez,1
1919-01-01,Coyoacan,1
1919-01-01,Cuajimalpa de Morelos,2
1919-01-01,Gustavo A. Madero,1
1919-01-01,Miguel Hidalgo,5
1919-01-01,Tlalpan,1
1919-01-01,Venustiano Carranza,1
1920-01-01,Azcapotzalco,2
1920-01-01,Benito Juarez,1
1920-01-01,Coyoacan,1
1920-01-01,Cuajimalpa de Morelos,3
1920-01-01,Gustavo A. Madero,3
1920-01-01,Miguel Hidalgo,12
1920-01-01,Tlalpan,1
1920-01-01,Venustiano Carranza,1
1920-01-01,Xochimilco,1
1920-01-01,Alvaro Obregon,8
1921-01-01,Azcapotzalco,1
1921-01-01,Benito Juarez,4
1921-01-01,Coyoacan,1
1921-01-01,Cuajimalpa de Morelos,14
1921-01-01,Cuauhtemoc,3
1921-01-01,Gustavo A. Madero,3
1921-01-01,Iztacalco,2
1921-01-01,Iztapalapa,2
1921-01-01,La Magdalena Contreras,4
1921-01-01,Miguel Hidalgo,8
1921-01-01,Tlalpan,2
1921-01-01,Tlahuac,1
1921-01-01,Xochimilco,1
1921-01-01,Alvaro Obregon,2
1922-01-01,Azcapotzalco,4
1922-01-01,Benito Juarez,2
1922-01-01,Coyoacan,1
1922-01-01,Cuajimalpa de Morelos,7
1922-01-01,Cuauhtemoc,3
1922-01-01,Gustavo A. Madero,4
1922-01-01,Iztacalco,1
1922-01-01,Iztapalapa,3
1922-01-01,La Magdalena Contreras,2
1922-01-01,Miguel Hidalgo,12
1922-01-01,Tlahuac,2
1922-01-01,Venustiano Carranza,1
1922-01-01,Alvaro Obregon,5
1923-01-01,Azcapotzalco,2
1923-01-01,Benito Juarez,2
1923-01-01,Coyoacan,3
1923-01-01,Cuajimalpa de Morelos,9
1923-01-01,Cuauhtemoc,1
1923-01-01,Gustavo A. Madero,8
1923-01-01,Iztapalapa,1
1923-01-01,La Magdalena Contreras,1
1923-01-01,Miguel Hidalgo,16
1923-01-01,Milpa Alta,1
1923-01-01,Tlalpan,5
1923-01-01,Tlahuac,1
1923-01-01,Venustiano Carranza,4
1923-01-01,Xochimilco,3
1923-01-01,Alvaro Obregon,4
1924-01-01,Azcapotzalco,2
1924-01-01,Benito Juarez,1
1924-01-01,Coyoacan,2
1924-01-01,Cuajimalpa de Morelos,10
1924-01-01,Cuauhtemoc,1
1924-01-01,Gustavo A. Madero,3
1924-01-01,Iztacalco,2
1924-01-01,Iztapalapa,2
1924-01-01,La Magdalena Contreras,2
1924-01-01,Miguel Hidalgo,3
1924-01-01,Tlalpan,1
1924-01-01,Tlahuac,1
1924-01-01,Venustiano Carranza,1
1924-01-01,Xochimilco,1
1924-01-01,Alvaro Obregon,5
1925-01-01,Azcapotzalco,2
1925-01-01,Benito Juarez,2
1925-01-01,Coyoacan,1
1925-01-01,Cuajimalpa de Morelos,1
1925-01-01,Cuauhtemoc,4
1925-01-01,Gustavo A. Madero,3
1925-01-01,Iztapalapa,2
1925-01-01,La Magdalena Contreras,1
1925-01-01,Miguel Hidalgo,1
1925-01-01,Venustiano Carranza,1
1925-01-01,Xochimilco,3
1925-01-01,Alvaro Obregon,2
1926-01-01,Azcapotzalco,3
1926-01-01,Coyoacan,1
1926-01-01,Gustavo A. Madero,3
1926-01-01,Iztacalco,2
1926-01-01,Iztapalapa,1
1926-01-01,La Magdalena Contreras,2
1926-01-01,Miguel Hidalgo,1
1926-01-01,Milpa Alta,1
1926-01-01,Tlalpan,2
1926-01-01,Venustiano Carranza,2
1926-01-01,Xochimilco,1
1926-01-01,Alvaro Obregon,2
1927-01-01,Azcapotzalco,10
1927-01-01,Benito Juarez,2
1927-01-01,Coyoacan,2
1927-01-01,Cuajimalpa de Morelos,4
1927-01-01,Cuauhtemoc,3
1927-01-01,Gustavo A. Madero,8
1927-01-01,Iztacalco,2
1927-01-01,Iztapalapa,8
1927-01-01,La Magdalena Contreras,4
1927-01-01,Miguel Hidalgo,4
1927-01-01,Tlalpan,3
1927-01-01,Tlahuac,1
1927-01-01,Venustiano Carranza,5
1927-01-01,Xochimilco,5
1927-01-01,Alvaro Obregon,1
1928-01-01,Azcapotzalco,8
1928-01-01,Benito Juarez,5
1928-01-01,Cuajimalpa de Morelos,21
1928-01-01,Cuauhtemoc,2
1928-01-01,Gustavo A. Madero,9
1928-01-01,Iztacalco,6
1928-01-01,Iztapalapa,9
1928-01-01,La Magdalena Contreras,10
1928-01-01,Miguel Hidalgo,4
1928-01-01,Tlalpan,3
1928-01-01,Venustiano Carranza,2
1928-01-01,Xochimilco,3
1928-01-01,Alvaro Obregon,2
1929-01-01,Azcapotzalco,4
1929-01-01,Benito Juarez,2
1929-01-01,Coyoacan,3
1929-01-01,Cuajimalpa de Morelos,10
1929-01-01,Cuauhtemoc,2
1929-01-01,Gustavo A. Madero,8
1929-01-01,Iztacalco,7
1929-01-01,Iztapalapa,3
1929-01-01,La Magdalena Contreras,6
1929-01-01,Miguel Hidalgo,3
1929-01-01,Milpa Alta,1
1929-01-01,Tlalpan,4
1929-01-01,Venustiano Carranza,1
1929-01-01,Xochimilco,2
1929-01-01,Alvaro Obregon,3
1930-01-01,Azcapotzalco,8
1930-01-01,Benito Juarez,4
1930-01-01,Coyoacan,7
1930-01-01,Cuajimalpa de Morelos,14
1930-01-01,Cuauhtemoc,6
1930-01-01,Gustavo A. Madero,9
1930-01-01,Iztacalco,8
1930-01-01,Iztapalapa,5
1930-01-01,La Magdalena Contreras,2
1930-01-01,Miguel Hidalgo,7
1930-01-01,Milpa Alta,3
1930-01-01,Tlalpan,8
1930-01-01,Tlahuac,1
1930-01-01,Venustiano Carranza,4
1930-01-01,Alvaro Obregon,9
1931-01-01,Azcapotzalco,9
1931-01-01,Benito Juarez,5
1931-01-01,Coyoacan,7
1931-01-01,Cuajimalpa de Morelos,23
1931-01-01,Cuauhtemoc,4
1931-01-01,Gustavo A. Madero,10
1931-01-01,Iztacalco,12
1931-01-01,Iztapalapa,9
1931-01-01,La Magdalena Contreras,5
1931-01-01,Miguel Hidalgo,2
1931-01-01,Tlalpan,4
1931-01-01,Venustiano Carranza,4
1931-01-01,Xochimilco,6
1931-01-01,Alvaro Obregon,5
1932-01-01,Azcapotzalco,6
1932-01-01,Benito Juarez,7
1932-01-01,Coyoacan,6
1932-01-01,Cuajimalpa de Morelos,7
1932-01-01,Cuauhtemoc,6
1932-01-01,Gustavo A. Madero,13
1932-01-01,Iztacalco,7
1932-01-01,Iztapalapa,10
1932-01-01,La Magdalena Contreras,2
1932-01-01,Miguel Hidalgo,5
1932-01-01,Milpa Alta,2
1932-01-01,Tlalpan,3
1932-01-01,Tlahuac,1
1932-01-01,Venustiano Carranza,1
1932-01-01,Xochimilco,4
1932-01-01,Alvaro Obregon,3
1933-01-01,Azcapotzalco,9
1933-01-01,Benito Juarez,6
1933-01-01,Coyoacan,2
1933-01-01,Cuajimalpa de Morelos,24
1933-01-01,Cuauhtemoc,2
1933-01-01,Gustavo A. Madero,9
1933-01-01,Iztacalco,3
1933-01-01,Iztapalapa,6
1933-01-01,La Magdalena Contreras,3
1933-01-01,Miguel Hidalgo,2
1933-01-01,Milpa Alta,1
1933-01-01,Tlalpan,3
1933-01-01,Venustiano Carranza,2
1933-01-01,Xochimilco,6
1933-01-01,Alvaro Obregon,3
1934-01-01,Azcapotzalco,15
1934-01-01,Benito Juarez,3
1934-01-01,Coyoacan,5
1934-01-01,Cuajimalpa de Morelos,26
1934-01-01,Cuauhtemoc,7
1934-01-01,Gustavo A. Madero,27
1934-01-01,Iztacalco,14
1934-01-01,Iztapalapa,9
1934-01-01,La Magdalena Contreras,20
1934-01-01,Miguel Hidalgo,6
1934-01-01,Milpa Alta,1
1934-01-01,Tlalpan,10
1934-01-01,Tlahuac,2
1934-01-01,Venustiano Carranza,7
1934-01-01,Xochimilco,8
1934-01-01,Alvaro Obregon,9
1935-01-01,Azcapotzalco,19
1935-01-01,Benito Juarez,11
1935-01-01,Coyoacan,5
1935-01-01,Cuajimalpa de Morelos,38
1935-01-01,Cuauhtemoc,13
1935-01-01,Gustavo A. Madero,15
1935-01-01,Iztacalco,14
1935-01-01,Iztapalapa,6
1935-01-01,La Magdalena Contreras,12
1935-01-01,Miguel Hidalgo,5
1935-01-01,Tlalpan,6
1935-01-01,Tlahuac,3
1935-01-01,Venustiano Carranza,5
1935-01-01,Xochimilco,3
1935-01-01,Alvaro Obregon,5
1936-01-01,Azcapotzalco,26
1936-01-01,Benito Juarez,9
1936-01-01,Coyoacan,7
1936-01-01,Cuajimalpa de Morelos,47
1936-01-01,Cuauhtemoc,5
1936-01-01,Gustavo A. Madero,24
1936-01-01,Iztacalco,11
1936-01-01,Iztapalapa,10
1936-01-01,La Magdalena Contreras,12
